# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
1e-05           	p               	9.98243821e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(4.21500000e-01 1.00000000e-01 1.00000000e-01)	1
1e-05           	U               	(-4.07638358e-01 1.01004196e-16 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(1.19515623e+01 8.25529100e-15 8.25529100e-15)	(4.96900000e-01 1.00000000e-01 1.00000000e-01)	1
1e-05           	T               	2.85349518e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00838394e+02	(5.00900000e-01 1.00000000e-01 1.00000000e-01)	2
1.1e-05         	p               	9.98064051e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(4.21100000e-01 1.00000000e-01 1.00000000e-01)	1
1.1e-05         	U               	(-4.49160395e-01 1.15143792e-16 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(1.49894365e+01 8.85502939e-15 8.85502939e-15)	(4.96900000e-01 1.00000000e-01 1.00000000e-01)	1
1.1e-05         	T               	2.85359929e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00833513e+02	(5.01100000e-01 1.00000000e-01 1.00000000e-01)	2
1.2125e-05      	p               	9.97858537e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(3.42900000e-01 1.00000000e-01 1.00000000e-01)	1
1.2125e-05      	U               	(-4.95639549e-01 1.28844566e-16 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(7.68161630e+00 3.86425855e-15 1.15927756e-14)	(4.95700000e-01 1.00000000e-01 1.00000000e-01)	1
1.2125e-05      	T               	2.85368241e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00830249e+02	(5.01100000e-01 1.00000000e-01 1.00000000e-01)	2
1.325e-05       	p               	9.97658547e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(2.69000000e-02 1.00000000e-01 1.00000000e-01)	0
1.325e-05       	U               	(-5.42602263e-01 1.30158287e-16 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(1.06190464e+01 4.21142719e-15 1.26342816e-14)	(4.95700000e-01 1.00000000e-01 1.00000000e-01)	1
1.325e-05       	T               	2.85374399e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00826392e+02	(5.01100000e-01 1.00000000e-01 1.00000000e-01)	2
1.4375e-05      	p               	9.97461939e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(2.57000000e-02 1.00000000e-01 1.00000000e-01)	0
1.4375e-05      	U               	(-5.89833167e-01 1.30877992e-16 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(1.34726022e+01 4.13804808e-15 1.24141442e-14)	(4.95700000e-01 1.00000000e-01 1.00000000e-01)	1
1.4375e-05      	T               	2.85379516e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00821564e+02	(5.01300000e-01 1.00000000e-01 1.00000000e-01)	2
1.55e-05        	p               	9.97267068e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(3.44500000e-01 1.00000000e-01 1.00000000e-01)	1
1.55e-05        	U               	(-6.37204618e-01 1.31246186e-16 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(1.73456654e+01 6.82136868e-15 6.82136868e-15)	(4.95900000e-01 1.00000000e-01 1.00000000e-01)	1
1.55e-05        	T               	2.85383986e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00820848e+02	(5.01300000e-01 1.00000000e-01 1.00000000e-01)	2
1.6625e-05      	p               	9.97073081e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(3.07500000e-01 1.00000000e-01 1.00000000e-01)	1
