# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
3.42857e-05     	p               	1.00000000e+05	(5.37900000e-01 1.00000000e-01 1.00000000e-01)	2	1.20000000e+05	(2.02500000e-01 1.00000000e-01 1.00000000e-01)	0
3.42857e-05     	U               	(-1.91515784e-13 -3.03988198e-28 -6.07976397e-28)	(1.23700000e-01 1.00000000e-01 1.00000000e-01)	0	(1.03716698e+01 5.51230992e-15 8.26846488e-15)	(4.88700000e-01 1.00000000e-01 1.00000000e-01)	1
3.42857e-05     	T               	2.85412135e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00801109e+02	(5.01900000e-01 1.00000000e-01 1.00000000e-01)	2
3.57143e-05     	p               	1.00000000e+05	(5.38100000e-01 1.00000000e-01 1.00000000e-01)	2	1.20000000e+05	(2.02300000e-01 1.00000000e-01 1.00000000e-01)	0
3.57143e-05     	U               	(-5.97682028e-13 -3.03988198e-28 -1.51994099e-28)	(1.90300000e-01 1.00000000e-01 1.00000000e-01)	0	(1.22886943e+01 5.53185933e-15 8.29778900e-15)	(4.88700000e-01 1.00000000e-01 1.00000000e-01)	1
3.57143e-05     	T               	2.85412439e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00800042e+02	(5.02100000e-01 1.00000000e-01 1.00000000e-01)	2
3.71429e-05     	p               	1.00000000e+05	(6.47300000e-01 1.00000000e-01 1.00000000e-01)	2	1.20000000e+05	(2.79300000e-01 1.00000000e-01 1.00000000e-01)	1
3.71429e-05     	U               	(-2.61905772e-13 -9.11964595e-28 -3.03988198e-28)	(7.98500000e-01 1.00000000e-01 1.00000000e-01)	3	(1.41196896e+01 5.31539820e-15 7.97309730e-15)	(4.88700000e-01 1.00000000e-01 1.00000000e-01)	1
3.71429e-05     	T               	2.85412572e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00800156e+02	(5.02100000e-01 1.00000000e-01 1.00000000e-01)	2
3.85714e-05     	p               	1.00000000e+05	(5.74900000e-01 1.00000000e-01 1.00000000e-01)	2	1.20000000e+05	(2.23300000e-01 1.00000000e-01 1.00000000e-01)	0
3.85714e-05     	U               	(-5.54274461e-13 -9.11964595e-28 -9.11964595e-28)	(3.84500000e-01 1.00000000e-01 1.00000000e-01)	1	(1.04476426e+01 5.09370078e-15 7.64055117e-15)	(4.87300000e-01 1.00000000e-01 1.00000000e-01)	1
3.85714e-05     	T               	2.85412779e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00799966e+02	(5.02100000e-01 1.00000000e-01 1.00000000e-01)	2
4e-05           	p               	1.00000000e+05	(6.45900000e-01 1.00000000e-01 1.00000000e-01)	2	1.20000000e+05	(4.25700000e-01 1.00000000e-01 1.00000000e-01)	1
4e-05           	U               	(-3.18036090e-15 -1.67193509e-27 -5.57311697e-28)	(1.02500000e-01 1.00000000e-01 1.00000000e-01)	0	(1.22197368e+01 5.11172758e-15 7.66759137e-15)	(4.87300000e-01 1.00000000e-01 1.00000000e-01)	1
4e-05           	T               	2.85413223e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00799184e+02	(5.02100000e-01 1.00000000e-01 1.00000000e-01)	2
4.14286e-05     	p               	1.00000000e+05	(9.66300000e-01 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(4.25300000e-01 1.00000000e-01 1.00000000e-01)	1
